Date,Open,High,Low,Close,Adj Close,Volume
3/6/2015,51.099998,51.200001,50.599998,50.849998,49.070663,15697111
4/6/2015,51.25,51.400002,50.400002,50.900002,49.118919,31031908
5/6/2015,50.75,50.900002,50.450001,50.75,48.974163,20977697
8/6/2015,50.5,50.849998,50.25,50.700001,48.925915,18000558
9/6/2015,50.5,50.75,50,50.150002,48.395161,19818759
10/6/2015,50,50.549999,49,49.599998,47.864407,49988335
11/6/2015,49.5,50.200001,49.5,49.75,48.009159,24410883
12/6/2015,49.75,50.599998,49.400002,50.5,48.73291,20981892
15/6/2015,50.5,50.650002,49.849998,50.099998,48.346909,13796133
16/6/2015,50.5,50.549999,49.950001,50.150002,48.395161,16793359
17/6/2015,50.599998,50.75,50.200001,50.5,48.73291,21110705
18/6/2015,50.900002,50.950001,50.150002,50.5,48.73291,15116874
19/6/2015,51.599998,51.799999,51.25,51.349998,49.553165,22669560
22/6/2015,52,53.150002,51.700001,52.849998,51.000679,28061315
23/6/2015,53.5,53.5,51.900002,52.75,50.904182,28230004
24/6/2015,53.099998,53.150002,52.25,52.299999,50.469925,19031290
25/6/2015,52.099998,53.150002,52.049999,52.700001,50.85593,19994307
26/6/2015,52.200001,52.299999,51.25,51.799999,49.987419,25756585
29/6/2015,51.450001,51.900002,49.799999,50.099998,48.346909,30036648
30/6/2015,50.400002,51.849998,50.200001,50.75,48.974163,23475548
2/7/2015,50.75,52.5,50.75,51.75,49.939171,28556343
3/7/2015,51.75,52,50.5,51,49.215416,19860153
6/7/2015,50.75,51.5,48.549999,49.5,47.767902,28959604
7/7/2015,49.5,50.450001,49.349998,50.049999,48.29866,31848247
8/7/2015,49.200001,49.75,45.5,47.099998,45.451881,63302099
9/7/2015,46.900002,50,46.150002,49.400002,47.671406,56988552
10/7/2015,49.150002,50.450001,49,49.549999,47.816151,43021821
13/7/2015,49.099998,50.650002,49.099998,50.549999,48.781162,27557347
14/7/2015,50.049999,50.450001,49.549999,49.900002,48.153908,27131696
15/7/2015,50.400002,50.849998,49.75,50.700001,48.925915,22452691
16/7/2015,51,51,50.099998,50.400002,48.63641,17992500
17/7/2015,50.5,51,50.349998,50.75,48.974163,16051569
20/7/2015,51,51,50.049999,50.599998,48.829411,15747627
21/7/2015,50.75,51.549999,50.549999,51,49.215416,19848921
22/7/2015,51,51.200001,50.150002,50.349998,48.588161,17968977
23/7/2015,50.849998,51.950001,50.599998,51.450001,49.64967,20949409
24/7/2015,51.5,51.5,50.349998,50.599998,48.829411,25801591
27/7/2015,50.200001,50.650002,49,49.049999,47.333649,37071150
28/7/2015,48.700001,51.150002,48.099998,50.349998,48.588161,38013204
29/7/2015,50.799999,50.900002,50.049999,50.599998,48.829411,23246694
30/7/2015,51.400002,51.400002,50.049999,50.099998,48.346909,13919089
31/7/2015,50.549999,50.650002,49.700001,50.5,48.73291,28675437
3/8/2015,50.049999,50.299999,49.049999,49.150002,47.430149,23984715
4/8/2015,50.400002,50.400002,49.150002,49.400002,47.671406,18511623
